MARKER,SD,MISSING
M22484,3.023121387,7
M22551,3.96,27
M22567,3.413793103,9
M22570,0.094972067,5
M22733,4.897142857,6
M22841,9.036809816,16
M22905,1.404624277,8
M22931,1.625698324,5
M22964,5.092105263,26
M22965,5.407643312,24
M23003,0.105882353,10
M23026,4.691275168,27
M23029,5.145251397,3
M23061,0.767955801,2
M23086,2.761363636,6
M23134,0.85620915,28
M23190,2.209580838,12
M23227,3.290697674,10
M23261,5.622516556,28
M23295,0.417721519,22
M23315,0.034883721,10
M23366,2.852272727,6
M23408,11.83018868,21
M23455,2.593220339,6
M23515,6.642384106,31
M23533,1.768211921,26
M23535,0.72,29
M23537,4.413173653,15
M23551,4.063291139,22
M23570,8.597765363,5
M23673,6.925925926,18
M23748,1.219653179,8
M23846,4.040462428,9
M23848,1.472727273,16
M23855,3.395348837,10
M23870,8.153374233,18
M23878,1.237288136,6
M23881,6.898876404,4
M23916,0.364864865,31
M23961,0.754385965,11
M24034,0.20754717,21
M24036,3.037037037,19
M24052,6.294797688,8
M24141,6.633136095,11
M24161,1.684563758,30
M24178,7.277456647,9
M24232,6,26
M24410,10.96363636,14
M24499,5.850828729,3
M24513,4.777777778,9
M24525,0.814814815,20
M24645,2.097560976,16
M24800,6.723756906,3
M24818,2.964912281,10
M24840,1.451612903,24
M24851,1.132450331,27
M24869,8.367231638,7
M24909,3.012269939,17
M24940,0.814814815,18
M24947,3,6
M25107,9.448275862,8
M25109,1.163265306,34
M25143,4.672727273,14
M25250,2.030674847,16
M25254,3,10
M25308,1.022988506,9
M25342,5.337209302,10
M25431,1.8,20
M25438,1.304878049,16
M25444,6.25,28
M25446,3.413793103,8
M25481,2.766871166,16
M25539,1.75739645,13
M25542,4.206703911,5
M25623,1.616352201,22
M25645,1.32748538,11
M25747,2.348314607,5
M25799,1.632911392,22
M25814,2.95480226,6
M25921,1.467836257,12
M25941,0.482352941,9
M25950,3.214689266,5
M25977,11.56140351,10
M26011,5.188235294,11
M26016,5.103896104,25
M26054,4.454545455,7
M26076,2.179775281,4
M26106,2,4
M26133,2.224719101,4
M26139,3.857142857,14
M26180,10.125,5
M26194,3.074074074,17
M26237,4.714285714,12
M26244,0.125827815,27
M26262,4.954285714,7
M26291,6.152542373,5
M26344,2.506329114,20
M26402,1.122905028,5
M26466,1.384615385,24
M26487,1.701986755,28
M26490,5.666666667,11
M26501,2.915662651,15
M26504,1.13559322,7
M26544,2.923076923,22
M26640,6.847953216,9
M26803,11.53846154,23
M26815,3.74556213,15
M26884,0.655555556,4
M26901,4.117318436,4
M26907,8.716049383,16
M27007,5.068965517,8
M27024,1.942528736,7
M27087,0,12
M27092,7.367816092,7
M27118,0.748571429,8
M27216,3.598802395,13
M27245,7.285714286,12
M27338,9.178571429,13
M27365,12.53142857,8
M27410,1.423529412,10
M27435,3.981818182,15
M27441,1.443037975,22
M27453,5.523255814,8
M27506,1.036363636,16
M27519,0.428571429,23
M27590,5.299319728,34
M27594,1.248447205,19
M27607,5.745762712,6
M27611,0.686046512,11
M27781,4.885057471,6
M27787,0.622641509,20
M27820,5.846153846,20
M27834,0.150837989,4
M27888,4.721212121,15
M27920,11.62025316,22
M27950,2,14
M27957,0.701298701,27
M27976,4.949685535,22
M27990,3.6,12
M27994,1.539325843,5
M28000,2.355932203,6
M28024,0.271604938,17
M28073,1.659217877,3
M28130,11.39306358,9
M28183,8.941520468,12
M28227,1.611764706,10
M28243,8.011764706,10
M28259,1.72972973,30
M28315,9.981595092,18
M28319,4.30994152,11
M28323,8.976047904,14
M28387,1.310344828,9
M28459,3.6,3
M28463,3.797687861,10
M28473,2.187096774,26
M28485,1.736842105,27
M28596,3.931677019,19
M28614,4.581081081,31
M28656,0.382550336,32
M28738,0.546961326,3
M28790,0.710982659,11
M28801,1.658536585,16
M28951,2.25,26
M28953,1.31372549,26
M28965,11.36464088,3
M29027,0.933701657,2
M29031,0.836734694,31
M29072,1.644067797,5
M29120,0.496932515,17
M29123,9.509090909,17
M29191,11.6746988,14
M29195,10.55172414,7
M29286,0.635294118,10
M29321,0.622641509,21
M29346,0.418604651,11
M29349,2.341935484,25
M29367,10.42331288,17
M29424,5.023255814,9
M29490,5.306818182,7
M29558,4.5,10
M29569,5.670454545,8
M29582,10.0375,20
M29602,1.736842105,10
M29642,3.450331126,30
M29650,6.952095808,13
M29665,4.914110429,15
M29723,4.37414966,32
M29750,1.937142857,7
M29776,3.891891892,30
M29833,3.069767442,8
M29884,3.528301887,21
M29891,4.555555556,9
M29893,4.975609756,17
M29935,1.285714286,13
M29942,0.611428571,8
M29975,10.46938776,35
M29994,1.259259259,18
M30009,2.310810811,31
M30022,0.409090909,7
M30039,1.251428571,9
M30057,8.112359551,5
M30077,1.402684564,30
M30087,4.517241379,8
M30105,1.488372093,9
M30138,5.302325581,10
M30227,5.243243243,30
M30246,0.86440678,6
M30255,2.325581395,10
M30262,2.181818182,6
M30290,4.153846154,23
M30291,8.526627219,13
M30292,8.502762431,3
M30371,4.082802548,23
M30469,3.110497238,3
M30472,2.467455621,10
M30490,0.447513812,2
M30552,6.5,23
M30558,3.357541899,4
M30656,0.312883436,16
M30660,8.748571429,6
M30669,0.329268293,16
M30688,11.30232558,11
M30737,4.517241379,6
M30791,2.298701299,25
M30872,4.921348315,4
M30914,1.324675325,25
M30940,1.491017964,14
M30960,9.925714286,7
M30973,4.72,28
M30995,0.215189873,22
M31010,1.74829932,32
M31012,4.254237288,5
M31037,3.982857143,7
M31268,2.812080537,31
M31271,2.652694611,13
M31280,2.758389262,29
M31340,5.74556213,12
M31359,4.093023256,9
M31397,1.561403509,10
M31488,3.348993289,28
M31505,4.817142857,8
M31516,3,10
M31546,1.469798658,32
M31565,4.409395973,30
M31633,7.464285714,13
M31646,2.101265823,24
M31693,3.855555556,4
M31718,1.773006135,20
M31723,5.944785276,17
M31732,3.473372781,10
M31761,5.430232558,7
M31771,12.57062147,4
M31886,6.408805031,22
M31950,7.333333333,16
M31998,9.503225806,23
M32012,4.1375,20
M32028,1.884615385,21
M32042,1.609756098,13
M32068,2.963414634,16
M32118,1.208092486,9
M32146,11.02285714,8
M32158,2.615384615,23
M32168,0.636363636,25
M32254,4.34939759,15
M32284,3.013422819,28
M32321,6.987730061,20
M32351,3.706666667,30
M32369,1.534883721,9
M32423,10,4
M32452,2.348314607,6
M32553,0.477124183,25
M32554,3.099447514,3
M32585,3.816326531,32
M32615,4.401273885,24
M32623,0.1375,19
M32634,3.22754491,14
M32661,3.617142857,6
M32676,3.318181818,6
M32685,1.407407407,17
M32723,1.943181818,6
M32868,3.845238095,11
M32904,3.318181818,8
M32970,1.282208589,17
M32980,3.256097561,15
M32984,8.761363636,7
M33067,7.958083832,13
M33074,0.647058824,25
M33106,1.662857143,7
M33116,2.80952381,11
M33142,1.116883117,25
M33241,1.341176471,14
M33253,1.488636364,7
M33254,1.8,22
M33328,2.254658385,20
M33353,1.348993289,32
M33377,0.817073171,15
M33445,1.9,3
M33507,12.34117647,13
M33519,4.796407186,14
M33548,3,28
M33565,3.039735099,27
M33590,1.951807229,14
M33606,3.194805195,26
M33633,3.420382166,21
M33686,5.416184971,7
M33696,2.054054054,31
M33742,0.321428571,11
M33824,1.553672316,6
M33853,0.797297297,32
M33857,5.761363636,6
M33864,4.829268293,13
M33891,0.648484848,17
M33951,4.114942529,8
M34004,1.993288591,31
M34014,2.017142857,7
M34075,7.421768707,33
M34114,0.620689655,9
M34175,4.315789474,29
M34181,2.528089888,6
M34203,2.397435897,25
M34208,3.140350877,12
M34235,0.670588235,10
M34279,2.00621118,20
M34333,3.909090909,8
M34343,0.790697674,10
M34356,9.469879518,16
M34363,7.80952381,13
M34367,6.034090909,8
M34378,3.217948718,24
M34424,6.446540881,22
M34432,1.051948052,25
M34453,0.280898876,4
M34455,1.337837838,29
M34477,8.122222222,2
M34534,3.268292683,16
M34557,11.78980892,25
M34599,3,18
M34607,0.515923567,23
M34610,6.174418605,11
M34636,2.889502762,2
M34638,3.707317073,18
M34673,4.211428571,8
M34701,2.543624161,29
M34726,0.188571429,7
M34733,0.34502924,10
M34829,2.2,18
M34884,0.165644172,19
M35034,4.5,11
M35041,2.094117647,13
M35059,5.84,29
M35063,4.829268293,16
M35076,0.112582781,27
M35150,6.680981595,18
M35254,8.797619048,13
M35269,1.259259259,19
M35345,4.197278912,32
M35412,2.777777778,11
M35419,3.069364162,8
M35429,2.079754601,16
M35437,6.01734104,9
M35500,1.047337278,14
M35560,3.943181818,6
M35589,2.094117647,11
M35605,2.943820225,4
M35634,0.670588235,10
M35643,1.937142857,7
M35653,5.764044944,4
M35654,1.894736842,26
M35714,12.07058824,12
M35716,9.682080925,9
M35726,7.011299435,5
M35744,1.089171975,24
M35812,0.256756757,32
M35931,7.772727273,6
M35981,3.666666667,19
M35996,4.607142857,12
M36006,1.566037736,19
M36026,3.045454545,6
M36036,0.363057325,23
M36116,0.509433962,20
M36122,4.885057471,7
M36173,2.670731707,19
M36210,0.272727273,8
M36219,3.980645161,25
M36232,2.183431953,13
M36258,10.03448276,7
M36284,1.482758621,9
M36299,7.183908046,10
M36313,5.896551724,7
M36328,5.537142857,7
M36411,3.544217687,31
M36419,0.437908497,24
M36459,0.457627119,7
M36463,11.36585366,17
M36469,2.157894737,28
M36491,0.884393064,8
M36563,1.82208589,17
M36603,4.755555556,3
M36608,0.823129252,31
M36638,6.550295858,11
M36640,0.842424242,14
M36712,3.513157895,27
M36727,0.279069767,10
M36729,4.265306122,31
M36778,2.955307263,5
M36783,3.295081967,1
M36787,6.479768786,9
M36882,3.706666667,28
M36906,3.197368421,27
M36917,7.314465409,22
M36925,7.308724832,32
M36991,10.97687861,8
M36993,7.203592814,13
M37010,2.141242938,5
M37011,4.558139535,8
M37012,0.905405405,29
M37056,3.573248408,24
M37104,2.197530864,18
M37121,2.119496855,22
M37179,2.397435897,23
M37184,2.220338983,5
M37202,3.409090909,6
M37211,1.490797546,15
M37256,3.887573964,10
M37257,1.078212291,4
M37276,0.112426036,13
M37348,0,29
M37368,2.703296703,1
M37391,0.803278689,1
M37522,0.105882353,13
M37584,2.431952663,12
M37747,0.766081871,11
M37808,4.34939759,15
M37835,3.706666667,29
M37837,1.25,19
M37842,3.880503145,22
M37857,0.264516129,24
M37873,0.905325444,11
M37934,6.642384106,25
M37978,3.797752809,5
M38005,1.916129032,24
M38050,5.90797546,16
M38059,1.502923977,12
M38062,0.803680982,16
M38081,5.908045977,8
M38085,5.6375,21
M38130,10.76829268,15
M38147,0.482352941,14
M38252,2.060402685,31
M38263,0.432432432,29
M38288,3.765100671,30
M38307,7.210526316,30
M38316,9.714285714,13
M38333,1.862068966,10
M38457,0.141025641,21
M38491,0.052023121,8
M38537,3.931677019,19
M38557,2.226190476,14
M38590,3.730769231,24
M38713,4.779069767,7
M38740,9.3375,19
M38769,2.13253012,13
M38775,1.523489933,31
M38793,11.05063291,21
M38821,1.986486486,29
M38822,5.696202532,23
M38826,8.578947368,9
M38845,3.624277457,9
M38872,0.620689655,9
M38875,9.370786517,6
M38876,0.763975155,18
M38913,11.72368421,28
M38919,1.051948052,25
M38978,3.335260116,9
M38996,1.113207547,18
M38998,4.717647059,11
M39018,6.627329193,20
M39105,0.318435754,5
M39125,2.220125786,22
M39154,10.49438202,5
M39219,1.023952096,17
M39236,2.174418605,11
M39302,4.456647399,10
M39325,0.952941176,12
M39339,3.104651163,8
M39347,3.573248408,22
M39401,1.265895954,9
M39460,4.19047619,13
M39484,8.098265896,9
M39548,1.390804598,9
M39575,0.835443038,22
M39689,6.793939394,18
M39698,7.067567568,32
M39707,2,16
M39740,4.376623377,24
M39771,0.068322981,19
M39777,7.559006211,18
M39789,4.961783439,23
M39812,5.012121212,17
M39849,3.625698324,5
M39924,2.825581395,9
M40014,0.923076923,26
M40016,1.302631579,25
M40054,0.763975155,21
M40063,0.977142857,6
M40097,4.796610169,5
M40114,2.453488372,10
M40120,1.688888889,4
M40148,11.52631579,9
M40173,2.602649007,27
M40205,5.815286624,23
M40240,0.103448276,9
M40259,1.574712644,7
M40296,5.666666667,23
M40399,1.397727273,6
M40424,1.609756098,15
M40427,1.324675325,24
M40482,1.579881657,15
M40497,0.473684211,10
M40547,4.677852349,29
M40606,4,6
M40610,2.506329114,22
M40649,0.607142857,14
M40653,4.081761006,21
M40655,2.987654321,18
M40663,1.272108844,31
M40697,0.409638554,13
M40771,2.725490196,27
M40778,1.945454545,15
M40821,0.226190476,12
M40912,3.883435583,15
M40934,0,16
M40939,2.597701149,9
M40945,3.706666667,28
M40961,8.817073171,17
M41004,7.552941176,11
M41022,1.390804598,8
M41086,3.283783784,33
M41168,9.380368098,17
M41201,1.736842105,27
M41225,4.056179775,5
M41238,9.842105263,8
M41250,2.892857143,11
M41274,6.25974026,26
M41355,2.157894737,11
M41370,3.123595506,6
M41377,12.58108108,32
M41441,9.072727273,13
M41457,5.988505747,10
M41461,2.656804734,12
M41555,3.412121212,16
M41592,10.70860927,28
M41646,0.869822485,14
M41651,8.141242938,3
M41686,0.766081871,11
M41742,2.573170732,18
M41749,3.265822785,21
M41751,6,11
M41797,9.9,20
M41813,3.185185185,18
M41939,6.769230769,26
M41962,6.48603352,4
M41971,4.792207792,26
M42098,3.357541899,5
M42204,3.951219512,17
M42246,2.544303797,19
M42253,1.894736842,27
M42333,7.2,20
M42365,6.363128492,4
M42368,8.195530726,5
M42376,9.852272727,7
M42383,6.151898734,20
M42519,5.895705521,20
M42526,1.404624277,9
M42548,5.125,4
M42611,2.681818182,6
M42671,3.836363636,14
M42682,9.729281768,3
M42819,2.348571429,6
M42843,5.731428571,6
M42863,2.380952381,14
M42932,1.633333333,4
M42954,1.617449664,32
M42965,9.745341615,19
M42992,1.072727273,13
M43025,1.027027027,31
M43035,2.072847682,27
M43114,1.388235294,9
M43120,1.662162162,31
M43133,1.192090395,6
M43147,4.426829268,17
M43275,4.917647059,11
M43297,4.355555556,3
M43310,1.244186047,9
M43325,2.590909091,7
M43339,3.402597403,27
M43393,8.204819277,14
M43442,2.082352941,9
M43519,4.303867403,3
M43537,4.690607735,3
M43602,10.37430168,4
M43606,0.923076923,23
M43633,1.898734177,23
M43646,0.640449438,5
M43655,3.32183908,7
M43660,7.107784431,12
M43687,12.73006135,17
M43716,0.551282051,23
M43736,3.280701754,11
M43767,7.282208589,18
M43779,0.463687151,3
M43791,0.152542373,7
M43796,4.786163522,23
M43830,3.689655172,6
M43874,4.643312102,20
M43900,0.801169591,10
M43921,6.408284024,11
M43982,3.174496644,29
M44052,3.134228188,29
M44056,4.39869281,24
M44057,6.723756906,2
M44064,1.127388535,22
M44084,7.217948718,23
M44219,13.06779661,6
M44272,1.795321637,8
M44321,2.959459459,32
M44329,0.86163522,20
M44423,0.88,30
M44448,3.730769231,22
M44471,4.595505618,4
M44492,6.972972973,31
M44509,2.640718563,16
M44516,1.670454545,8
M44528,6.463087248,30
M44579,2.382716049,18
M44600,7.729411765,12
M44648,1.797385621,25
M44679,4.042944785,16
M44741,7.282208589,17
M44760,1.979591837,33
M44765,1.49689441,18
M44863,3.847457627,6
M44931,5.230769231,24
M45057,3.0375,21
M45086,1.849162011,3
M45094,1.5,18
M45176,5.125,7
M45201,3.359281437,13
M45219,5.711864407,6
M45310,3.195402299,8
M45315,6.303370787,5
M45333,2.375722543,8
M45347,12.05882353,13
M45348,0.727810651,13
M45362,5.013605442,32
M45375,0.6375,19
M45383,0.814569536,27
M45528,5.091428571,7
M45532,0.86440678,6
M45542,2.615384615,25
M45557,1.218181818,15
M45654,4.813333333,28
M45702,1.011428571,6
M45745,2.031446541,22
M45753,3.186335404,18
M45812,4.114942529,7